CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Number of Sites Reporting Min-Max,Number of Sites Reporting Z-score,Year,Month,Day,Day of Week
254,254,2022-06-10,51,2,2,40-031-0651,1,0.0,-0.7549132547660471,2022,6,10,4
489,489,2022-04-24,48,0,2,37-067-0022,3,0.4000000000000001,0.39421700819886785,2022,4,24,6
114,114,2022-03-25,36,0,2,19-163-0014,3,0.4000000000000001,0.39421700819886785,2022,3,25,4
27,27,2022-07-24,58,2,2,23-011-2001,1,0.0,-0.7549132547660471,2022,7,24,6
234,234,2022-09-02,38,0,2,37-107-0004,1,0.0,-0.7549132547660471,2022,9,2,4
299,299,2022-03-15,42,0,2,37-031-9991,1,0.0,-0.7549132547660471,2022,3,15,1
236,236,2022-06-24,80,2,2,47-001-0101,6,1.0000000000000002,2.1179124026462404,2022,6,24,4
340,340,2022-06-09,33,0,2,12-113-0015,3,0.4000000000000001,0.39421700819886785,2022,6,9,3
211,211,2022-02-19,20,0,4,19-103-2001,1,0.0,-0.7549132547660471,2022,2,19,5
340,340,2022-03-25,64,2,2,12-033-0018,3,0.4000000000000001,0.39421700819886785,2022,3,25,4
151,151,2022-05-08,46,0,2,32-001-0002,1,0.0,-0.7549132547660471,2022,5,8,6
74,74,2022-06-04,42,0,2,19-113-0040,2,0.2,-0.18034812328358962,2022,6,4,5
340,340,2022-05-10,46,0,4,12-033-0004,3,0.4000000000000001,0.39421700819886785,2022,5,10,1
321,321,2022-04-21,39,0,6,09-011-0124,1,0.0,-0.7549132547660471,2022,4,21,3
199,199,2022-06-06,18,0,4,15-001-2020,6,1.0000000000000002,2.1179124026462404,2022,6,6,0
241,240,2022-02-18,36,0,2,22-099-0001,2,0.2,-0.18034812328358962,2022,2,18,4
216,216,2022-02-05,,0,2,12-031-0100,6,1.0000000000000002,2.1179124026462404,2022,2,5,5
347,347,2022-04-13,29,0,4,55-043-0009,1,0.0,-0.7549132547660471,2022,4,13,2
68,69,2022-04-08,49,0,2,12-071-2002,2,0.2,-0.18034812328358962,2022,4,8,4
303,303,2022-05-30,8,0,4,53-025-1002,2,0.2,-0.18034812328358962,2022,5,30,0
245,245,2022-05-04,8,0,3,04-015-1003,1,0.0,-0.7549132547660471,2022,5,4,2
62,62,2022-07-15,44,0,2,36-063-1006,5,0.8,1.5433472711637828,2022,7,15,4
493,493,2022-04-29,47,0,2,42-085-9991,6,1.0000000000000002,2.1179124026462404,2022,4,29,4
348,348,2022-02-23,,0,4,16-005-0015,1,0.0,-0.7549132547660471,2022,2,23,2
170,170,2022-05-11,0,0,4,32-005-0007,1,0.0,-0.7549132547660471,2022,5,11,2
66,66,2022-04-08,44,0,2,24-019-9991,2,0.2,-0.18034812328358962,2022,4,8,4
291,291,2022-06-03,44,0,2,27-139-0505,6,1.0000000000000002,2.1179124026462404,2022,6,3,4
327,327,2022-03-25,38,0,2,19-085-0007,6,1.0000000000000002,2.1179124026462404,2022,3,25,4
386,386,2022-03-23,49,0,2,06-061-2003,6,1.0000000000000002,2.1179124026462404,2022,3,23,2
308,308,2022-03-14,33,0,4,19-139-0019,2,0.2,-0.18034812328358962,2022,3,14,0
82,82,2022-06-05,54,2,2,47-065-4002,4,0.6000000000000001,0.9687821396813253,2022,6,5,6
165,165,2022-07-21,63,2,6,18-183-0003,2,0.2,-0.18034812328358962,2022,7,21,3
460,460,2022-07-25,32,0,2,06-095-3003,3,0.4000000000000001,0.39421700819886785,2022,7,25,0
240,238,2022-06-16,33,0,2,33-001-2004,1,0.0,-0.7549132547660471,2022,6,16,3
357,357,2022-04-12,43,0,2,49-007-1003,1,0.0,-0.7549132547660471,2022,4,12,1
71,72,2022-01-28,44,0,2,56-025-0100,2,0.2,-0.18034812328358962,2022,1,28,4
142,141,2022-05-16,6,0,4,53-037-0002,1,0.0,-0.7549132547660471,2022,5,16,0
182,182,2022-04-23,,2,4,37-081-0013,2,0.2,-0.18034812328358962,2022,4,23,5
299,299,2022-02-16,41,0,2,37-031-9991,1,0.0,-0.7549132547660471,2022,2,16,2
327,327,2022-02-25,46,0,4,31-055-0052,6,1.0000000000000002,2.1179124026462404,2022,2,25,4
288,288,2022-02-19,35,0,2,18-091-0010,3,0.4000000000000001,0.39421700819886785,2022,2,19,5
196,196,2022-07-25,44,0,2,30-049-0004,2,0.2,-0.18034812328358962,2022,7,25,0
49,49,2022-04-01,42,0,2,17-113-2003,1,0.0,-0.7549132547660471,2022,4,1,4
300,300,2022-04-15,44,0,2,54-061-0003,1,0.0,-0.7549132547660471,2022,4,15,4
469,469,2022-06-26,43,0,2,18-169-9991,1,0.0,-0.7549132547660471,2022,6,26,6
240,238,2022-05-02,42,0,2,33-001-2004,1,0.0,-0.7549132547660471,2022,5,2,0
52,52,2022-05-21,55,2,4,25-023-0005,6,1.0000000000000002,2.1179124026462404,2022,5,21,5
256,256,2022-05-17,24,0,6,53-003-0004,3,0.4000000000000001,0.39421700819886785,2022,5,17,1
108,108,2022-06-17,23,0,4,06-015-0007,1,0.0,-0.7549132547660471,2022,6,17,4
169,169,2022-06-17,38,0,4,13-139-0003,1,0.0,-0.7549132547660471,2022,6,17,4
113,113,2022-05-07,58,2,2,01-003-0010,1,0.0,-0.7549132547660471,2022,5,7,5
420,425,2022-07-09,32,0,2,42-111-9991,1,0.0,-0.7549132547660471,2022,7,9,5
280,280,2022-02-21,33,0,4,40-121-0415,1,0.0,-0.7549132547660471,2022,2,21,0
71,72,2022-04-28,45,0,2,56-025-0100,2,0.2,-0.18034812328358962,2022,4,28,3
310,310,2022-05-05,49,0,2,45-051-0008,1,0.0,-0.7549132547660471,2022,5,5,3
180,180,2022-08-22,33,0,4,55-009-0005,3,0.4000000000000001,0.39421700819886785,2022,8,22,0
217,217,2022-01-30,36,0,2,36-013-0006,1,0.0,-0.7549132547660471,2022,1,30,6
99,99,2022-08-01,34,0,4,13-215-0008,1,0.0,-0.7549132547660471,2022,8,1,0
292,292,2022-02-23,32,0,2,38-101-0003,1,0.0,-0.7549132547660471,2022,2,23,2
171,171,2022-07-17,41,0,4,42-001-0001,2,0.2,-0.18034812328358962,2022,7,17,6
13,13,2022-05-03,42,0,6,13-261-1001,1,0.0,-0.7549132547660471,2022,5,3,1
24,24,2022-03-09,30,0,2,13-097-0004,6,1.0000000000000002,2.1179124026462404,2022,3,9,2
172,172,2022-05-01,44,0,2,56-005-0123,6,1.0000000000000002,2.1179124026462404,2022,5,1,6
241,240,2022-04-10,67,2,2,22-099-0001,2,0.2,-0.18034812328358962,2022,4,10,6
66,66,2022-06-19,40,0,2,24-019-9991,2,0.2,-0.18034812328358962,2022,6,19,6
134,134,2022-02-18,28,0,4,55-035-0014,1,0.0,-0.7549132547660471,2022,2,18,4
368,368,2022-01-12,48,0,4,06-103-0007,1,0.0,-0.7549132547660471,2022,1,12,2
330,330,2022-03-06,36,0,2,21-091-0012,2,0.2,-0.18034812328358962,2022,3,6,6
156,156,2022-06-02,41,0,2,32-019-0006,1,0.0,-0.7549132547660471,2022,6,2,3
438,438,2022-06-29,41,0,2,36-075-0003,2,0.2,-0.18034812328358962,2022,6,29,2
481,481,2022-03-24,14,0,4,53-007-0011,3,0.4000000000000001,0.39421700819886785,2022,3,24,3
32,32,2022-07-07,44,0,2,55-111-0007,1,0.0,-0.7549132547660471,2022,7,7,3
106,106,2022-04-28,43,0,2,48-349-1051,1,0.0,-0.7549132547660471,2022,4,28,3
244,244,2022-06-15,42,0,2,12-023-0002,1,0.0,-0.7549132547660471,2022,6,15,2
114,114,2022-05-31,44,0,6,19-163-0015,4,0.6000000000000001,0.9687821396813253,2022,5,31,1
476,476,2022-02-28,29,0,2,46-029-0002,1,0.0,-0.7549132547660471,2022,2,28,0
475,475,2022-03-13,43,0,2,19-017-0011,2,0.2,-0.18034812328358962,2022,3,13,6
246,246,2022-06-25,48,0,2,12-105-6005,2,0.2,-0.18034812328358962,2022,6,25,5
65,65,2022-05-17,41,0,2,26-165-9991,2,0.2,-0.18034812328358962,2022,5,17,1
296,296,2022-04-14,13,0,4,22-073-0004,1,0.0,-0.7549132547660471,2022,4,14,3
186,186,2022-08-24,20,0,2,28-059-0006,3,0.4000000000000001,0.39421700819886785,2022,8,24,2
365,365,2022-06-06,74,2,2,37-183-0014,3,0.4000000000000001,0.39421700819886785,2022,6,6,0
426,431,2022-05-25,45,0,2,25-013-0008,3,0.4000000000000001,0.39421700819886785,2022,5,25,2
174,174,2022-05-10,26,0,6,31-079-0005,1,0.0,-0.7549132547660471,2022,5,10,1
469,469,2022-03-02,42,0,2,18-169-9991,1,0.0,-0.7549132547660471,2022,3,2,2
182,182,2022-05-24,30,0,2,37-157-0099,2,0.2,-0.18034812328358962,2022,5,24,1
110,110,2022-04-14,51,2,2,48-439-0075,6,1.0000000000000002,2.1179124026462404,2022,4,14,3
281,281,2022-02-12,36,0,2,48-215-0043,1,0.0,-0.7549132547660471,2022,2,12,5
53,53,2022-05-02,39,0,2,08-013-0014,3,0.4000000000000001,0.39421700819886785,2022,5,2,0
353,352,2022-07-21,58,2,2,23-031-0040,5,0.8,1.5433472711637828,2022,7,21,3
372,372,2022-06-10,50,0,2,51-036-0002,6,1.0000000000000002,2.1179124026462404,2022,6,10,4
480,480,2022-08-24,61,2,2,39-081-0017,4,0.6000000000000001,0.9687821396813253,2022,8,24,2
372,372,2022-02-02,52,2,4,51-760-0025,3,0.4000000000000001,0.39421700819886785,2022,2,2,2
245,245,2022-09-30,19,0,3,04-015-1003,1,0.0,-0.7549132547660471,2022,9,30,4
91,91,2022-01-06,24,0,4,28-011-0002,1,0.0,-0.7549132547660471,2022,1,6,3
144,144,2022-08-12,45,0,2,35-039-0026,1,0.0,-0.7549132547660471,2022,8,12,4
62,62,2022-02-03,32,0,2,36-063-1006,4,0.6000000000000001,0.9687821396813253,2022,2,3,3
329,329,2022-01-02,8,0,4,53-001-0003,1,0.0,-0.7549132547660471,2022,1,2,6
449,449,2022-07-05,50,0,2,34-021-0008,3,0.4000000000000001,0.39421700819886785,2022,7,5,1
115,115,2022-02-01,62,2,4,39-135-1001,2,0.2,-0.18034812328358962,2022,2,1,1
143,143,2022-07-26,21,0,4,42-049-0003,1,0.0,-0.7549132547660471,2022,7,26,1
188,188,2022-02-26,28,0,4,16-013-0004,1,0.0,-0.7549132547660471,2022,2,26,5
315,315,2022-06-06,58,2,2,09-009-9002,3,0.4000000000000001,0.39421700819886785,2022,6,6,0
161,161,2022-04-18,46,0,2,08-069-0007,4,0.6000000000000001,0.9687821396813253,2022,4,18,0
194,194,2022-04-09,40,0,6,09-013-1001,4,0.6000000000000001,0.9687821396813253,2022,4,9,5
423,428,2022-08-23,44,0,2,45-083-0009,2,0.2,-0.18034812328358962,2022,8,23,1
136,136,2022-04-23,47,0,2,06-025-1003,6,1.0000000000000002,2.1179124026462404,2022,4,23,5
425,430,2022-08-26,36,0,2,17-167-0014,2,0.2,-0.18034812328358962,2022,8,26,4
295,295,2022-04-12,40,0,2,06-099-0005,1,0.0,-0.7549132547660471,2022,4,12,1
441,441,2022-04-16,18,0,4,35-055-0005,1,0.0,-0.7549132547660471,2022,4,16,5
403,408,2022-02-28,44,0,6,13-051-1002,1,0.0,-0.7549132547660471,2022,2,28,0
325,325,2022-05-11,48,0,2,40-109-1037,6,1.0000000000000002,2.1179124026462404,2022,5,11,2
414,419,2022-09-04,12,0,3,04-017-1002,1,0.0,-0.7549132547660471,2022,9,4,6
395,401,2022-05-04,54,2,2,06-069-0003,6,1.0000000000000002,2.1179124026462404,2022,5,4,2
95,95,2022-08-02,31,0,4,48-041-1086,1,0.0,-0.7549132547660471,2022,8,2,1
193,193,2022-02-03,17,0,1,51-165-0003,1,0.0,-0.7549132547660471,2022,2,3,3
240,238,2022-06-09,23,0,2,33-001-2004,1,0.0,-0.7549132547660471,2022,6,9,3
401,406,2022-05-14,,2,6,06-083-1025,6,1.0000000000000002,2.1179124026462404,2022,5,14,5
37,37,2022-03-05,44,0,2,48-245-0101,6,1.0000000000000002,2.1179124026462404,2022,3,5,5
66,66,2022-07-31,46,0,2,24-019-9991,1,0.0,-0.7549132547660471,2022,7,31,6
258,258,2022-02-26,52,2,4,21-067-0012,1,0.0,-0.7549132547660471,2022,2,26,5
374,374,2022-07-29,20,0,4,56-013-1003,1,0.0,-0.7549132547660471,2022,7,29,4
184,184,2022-04-04,44,0,2,45-007-0006,3,0.4000000000000001,0.39421700819886785,2022,4,4,0
27,27,2022-08-09,14,0,2,23-011-2001,1,0.0,-0.7549132547660471,2022,8,9,1
397,403,2022-01-27,61,2,4,06-079-8002,6,1.0000000000000002,2.1179124026462404,2022,1,27,3
195,195,2022-09-23,38,0,4,28-035-0004,1,0.0,-0.7549132547660471,2022,9,23,4
366,366,2022-03-15,42,0,2,46-033-0132,3,0.4000000000000001,0.39421700819886785,2022,3,15,1
353,352,2022-08-23,31,0,2,23-031-2002,5,0.8,1.5433472711637828,2022,8,23,1
293,293,2022-05-22,40,0,6,30-063-0024,3,0.4000000000000001,0.39421700819886785,2022,5,22,6
61,61,2022-07-28,43,0,4,13-127-0006,1,0.0,-0.7549132547660471,2022,7,28,3
19,19,2022-01-10,0,0,6,37-021-0034,1,0.0,-0.7549132547660471,2022,1,10,0
34,34,2022-08-02,25,0,2,22-033-0013,6,1.0000000000000002,2.1179124026462404,2022,8,2,1
81,81,2022-04-05,45,0,4,51-003-0001,1,0.0,-0.7549132547660471,2022,4,5,1
129,129,2022-10-05,34,0,2,08-067-7003,2,0.2,-0.18034812328358962,2022,10,5,2
344,344,2022-06-29,8,0,4,46-065-0003,1,0.0,-0.7549132547660471,2022,6,29,2
396,402,2022-01-23,18,0,4,72-061-0005,5,0.8,1.5433472711637828,2022,1,23,6
84,84,2022-04-24,44,0,4,17-031-0001,6,1.0000000000000002,2.1179124026462404,2022,4,24,6
432,390,2022-09-12,37,0,6,17-163-0010,6,1.0000000000000002,2.1179124026462404,2022,9,12,0
276,276,2022-03-14,8100,0,2,27-083-4210,1,0.0,-0.7549132547660471,2022,3,14,0
287,287,2022-06-13,62,2,4,12-099-0008,6,1.0000000000000002,2.1179124026462404,2022,6,13,0
47,47,2022-06-15,30,0,2,38-065-0002,2,0.2,-0.18034812328358962,2022,6,15,2
325,325,2022-08-10,105,4,2,40-027-0049,6,1.0000000000000002,2.1179124026462404,2022,8,10,2
